timestamp,survey_loc,age,gender,major,major_cat,school,school_year,hs_gpa,college_gpa,sat,converted_sat,act,iq,music_genre,fav_music_artists,chosen_music_artists,fav_color,fav_comp_color,go_to_bed,avg_sleep_hours,up_from_bed,openness,conscientiousness,extraversion,agreeableness,neuroticism,myers_briggs,social_awkward,social_anxious,show_up_early,cluttered,share_posts_often,num_hobbies,religion,depressed,routine,exercise,diet,limits_social_media,planner,energy_drinks,meditation,cold_showers,coffee,drum_corps,plays_sports,nature_hobby,school_band,indoor_drumline,rick_and_morty,bojack_horseman,blade_runner_(1982),ferris_bueller's_day_off_(1986),catch-22_by_joseph_heller,stranger_things
2020-02-19 11:20:32.365,Implying Dum corps: electric boogaloo,18.0,Male,Accounting,Business,University,Sophomore,3.34,3.84,1050.0,1050.0,,,Orchestral ,Electric Light Orchestra,"Radiohead, Beethoven",Orange,Blue,21:30:00,9.5,07:00:00,4.0,2.0,2.0,3.0,3.0,,1.0,0.0,1.0,0.0,1.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2020-02-19 11:22:18.391,Implying Dum corps: electric boogaloo,19.0,Male,Aviation,Engineering,University,Sophomore,3.5,3.1,1400.0,1400.0,26.0,132.0,Big band,"Benny Goodman, Glenn Miller, Stevie Wonder","Pink Floyd, Chicago, Billy Joel, Beethoven",Blue ,Black,01:00:00,8.0,09:00:00,2.0,1.0,2.0,3.0,1.0,,1.0,0.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-02-19 11:22:22.283,Implying Dum corps: electric boogaloo,20.0,Male,Economics,Math,University,Sophomore,4.0,3.9,,1370.0,30.0,,Symphonic,Youngblood Brass Band,Beethoven,Red,Black,22:00:00,9.0,07:00:00,3.0,3.0,1.0,2.0,1.0,INTJ,1.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-02-19 11:24:48.272,Implying Dum corps: electric boogaloo,19.0,Female,Biology and Environmental science  and Policy,Science,University,Sophomore,3.98,3.78,1410.0,1460.0,33.0,,,Alternative,"Post Malone, Maroon 5, Rex Orange County, Pink Floyd, Radiohead, Beethoven, The Beatles",Black,Maroon,00:01:00,7.983333333333333,08:00:00,3.0,1.0,2.0,4.0,1.0,INTJ,0.0,1.0,1.0,1.0,0.0,,,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
2020-02-19 11:36:03.104,Implying Dum corps: electric boogaloo,19.0,Male,Music Performance,Music,University,Sophomore,3.87,3.84,,1500.0,34.0,141.0,Ska,"We Are the Union, Streetlight Manifesto, Badfish, The Beatles, Boston, Kansas, Zappa, No BS Brass Band, Jonsi, Radiohead, Switchfoot","Frank Zappa, Pink Floyd, Chicago, Radiohead, Beethoven, The Beatles",Red,Blue,00:00:00,9.0,09:00:00,2.0,4.0,1.0,3.0,2.0,,1.0,0.0,1.0,0.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-02-19 12:00:25.470,Implying Dum corps: electric boogaloo,22.0,Female,Nursing,Medical,University,Sophomore,3.0,3.0,1400.0,1400.0,,,Progressive Rock,"Thank You Scientist, Sabaton, Battle Tapes, Carpenter Brut, e-dubble",,Purple,Black/White,23:30:00,6.5,06:00:00,3.0,2.0,1.0,5.0,3.0,,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-02-19 12:43:39.850,Implying Dum corps: electric boogaloo,16.0,Male,Physics ,Math,High School,Junior,4.69,,1280.0,1280.0,,162.0,Classical / Piano,I have none,"Maroon 5, Billy Joel, Beethoven, The Beatles",Beige,Ocean Blue,23:00:00,8.0,07:00:00,4.0,4.0,1.0,3.0,2.0,ISTJ,1.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-02-19 12:55:15.033,Implying Dum corps: electric boogaloo,18.0,Male,Nursing,Medical,University,Freshman,3.95,3.9,1230.0,1340.0,29.0,122.0,Classic Rock,"Queen, Guns & Roses, Billy Joel, Johnny Cash","Pink Floyd, Billy Joel",Royal Purple,Black or Dark red,23:30:00,8.0,07:30:00,3.0,3.0,1.0,2.0,3.0,,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
2020-02-19 13:55:58.670,Implying Dum corps: electric boogaloo,18.0,Male,"Tourism, Convention, and Event Management",Business,University,Freshman,3.6,3.2,1240.0,1400.0,31.0,132.0,Lo-Fi/Alt,"James Blake, Jon Bellion, Sam Gellatry, Bon Iver, Joe","Post Malone, Beyoncé, Lil Wayne, Rex Orange County, Pink Floyd, Radiohead, The Beatles",Sky blue ,Lavender ,00:30:00,8.0,08:30:00,5.0,1.0,3.0,5.0,4.0,,1.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2020-02-19 13:56:45.531,Implying Dum corps: electric boogaloo,18.0,Female,Music Education ,Music,University,Freshman,3.4,2.7,1240.0,1240.0,,,indie,"Novo Amor, Jordan Rakei, Jacob Collier","Post Malone, Rex Orange County, Radiohead",yellow,light purple,00:30:00,6.0,06:30:00,4.0,3.0,4.0,4.0,2.0,,0.0,0.0,1.0,0.0,0.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
